Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14,Unzipper_Time24,Unzipper_Time25,Unzipper_Time33,Unzipper_Time34,Unzipper_Time35
4833,10,25,1.90909,1.76411,1.91886,1.76188,1.7685,1.90029,10.1187,10.5345,23.3843,2.05608,1.96147
6158,10,25,4.01906,3.64087,4.02615,3.6359,3.64893,4.01476,24.1761,22.7685,53.0955,4.31272,4.05104
7848,10,25,8.51362,7.56303,8.56391,7.51944,7.57361,8.50301,45.2455,47.9866,111.25,8.9517,8.26247
10000,10,25,17.9643,15.4917,17.7487,15.5558,15.5097,17.7452,99.2259,102.007,231.88,18.8205,17.0804
100,10,50,6.5024e-05,3.2293e-05,6.8026e-05,6.5306e-05,3.3565e-05,3.1892e-05,0.000151977,0.00013798,0.000585296,7.7947e-05,4.8703e-05
127,10,50,6.768e-05,6.3626e-05,6.9566e-05,6.5261e-05,6.4486e-05,8.8084e-05,0.000373623,0.00027622,0.00124289,0.000118245,0.000153594
162,10,50,0.00013829,0.000130959,0.000138248,0.000134701,0.000133892,0.00013176,0.000571999,0.000585548,0.00289903,0.000228888,0.000212116
207,10,50,0.000267405,0.000254079,0.000267642,0.000261568,0.000259315,0.000257206,0.00121652,0.00122461,0.00424148,0.000753436,0.000432127
264,10,50,0.000569543,0.000523289,0.000554448,0.000541476,0.000778593,0.000527569,0.00242129,0.00248479,0.0088343,0.000906029,0.000894183
336,10,50,0.00109534,0.00129697,0.00109401,0.00105063,0.0010594,0.00104434,0.00477224,0.00485073,0.0169993,0.0017391,0.00171153
428,10,50,0.0023222,0.00212146,0.00222818,0.0021486,0.00215067,0.00214999,0.00939619,0.00928287,0.0337377,0.00339794,0.00331378
546,10,50,0.00466455,0.00455976,0.00461551,0.00444313,0.00459078,0.00446294,0.0187718,0.0190397,0.068859,0.00724872,0.00717968
695,10,50,0.00962501,0.00895166,0.00943223,0.00904539,0.00911375,0.00914306,0.0384648,0.0410888,0.140464,0.0134347,0.0142681
886,10,50,0.0192892,0.0185766,0.0192328,0.0185868,0.0185779,0.0187136,0.0790312,0.083033,0.287766,0.0272051,0.0295122
1129,10,50,0.0401274,0.0383925,0.0398329,0.0384597,0.0389398,0.039122,0.15555,0.154857,0.59163,0.0555269,0.0581549
1438,10,50,0.0840201,0.0789691,0.0849252,0.0789248,0.0796453,0.0830492,0.311308,0.324859,1.21847,0.110808,0.112156
1833,10,50,0.177202,0.163843,0.176934,0.164108,0.165308,0.174173,0.641506,0.648943,2.51258,0.227934,0.222482
2336,10,50,0.36518,0.338567,0.36543,0.338504,0.341256,0.360621,1.30404,1.33456,5.18466,0.463254,0.45157
2976,10,50,0.755716,0.702221,0.758516,0.702331,0.711373,0.749304,2.69976,2.74994,10.7554,0.944251,0.914688
3793,10,50,1.59274,1.45518,1.59589,1.45304,1.4689,1.5777,5.43496,5.71424,23.9015,1.9952,1.91538
4833,10,50,3.35518,3.01396,3.36742,3.00437,3.02288,3.3368,11.4021,12.1331,51.9116,4.018,3.859
6158,10,50,7.04247,6.22623,7.0658,6.20364,6.26047,6.9007,23.439,25.3311,108.792,8.40881,8.03269
7848,10,50,14.7492,12.8592,14.6413,12.8458,12.9267,14.7319,51.2966,54.3377,225.67,18.1681,16.5729
10000,10,50,30.7606,26.6089,30.7881,26.5702,26.7305,30.6529,110.94,116.041,465.807,38.3849,34.2066
100,25,5,2.2076e-05,1.4942e-05,2.5002e-05,1.7762e-05,1.7375e-05,3.0364e-05,0.000287669,0.000298994,7.6166e-05,1.1132e-05,1.0916e-05
127,25,5,5.3345e-05,3.1387e-05,4.6027e-05,3.5638e-05,2.878e-05,8.3336e-05,0.000557539,0.00061708,0.000165864,4.4745e-05,4.2729e-05
162,25,5,0.000108809,5.6722e-05,8.5507e-05,6.9781e-05,5.6335e-05,0.000100629,0.00106559,0.00110163,0.000436985,4.4914e-05,4.3901e-05
207,25,5,0.000137744,0.000106998,0.00015528,0.000119688,0.000103642,0.000177304,0.00214577,0.00283582,0.000699085,0.000166183,8.5383e-05
264,25,5,0.000255089,0.000208675,0.000477136,0.000242048,0.000202502,0.000311717,0.00418671,0.0043962,0.00109739,0.00017119,0.00016887
336,25,5,0.000474131,0.000433714,0.000514296,0.000496738,0.000383484,0.000899837,0.00817665,0.00853822,0.00210972,0.000330798,0.000320503
428,25,5,0.00106554,0.00171956,0.00113674,0.00105878,0.00101813,0.00106088,0.0167797,0.0169278,0.00528257,0.000674521,0.000662001
546,25,5,0.00236659,0.00282243,0.00214569,0.0024888,0.00201888,0.00201844,0.0348969,0.034146,0.00978962,0.00135,0.00132694
695,25,5,0.00455724,0.00388325,0.00414024,0.00400489,0.00425877,0.00387466,0.0693628,0.0684764,0.0188032,0.00277535,0.00267701
886,25,5,0.00771338,0.00750368,0.00847227,0.00785015,0.00788485,0.00764415,0.14144,0.140169,0.0387921,0.00568996,0.00551842
1129,25,5,0.0154436,0.0147916,0.0167164,0.015787,0.0149918,0.0150842,0.288732,0.287854,0.0779282,0.0123272,0.0115276
1438,25,5,0.030494,0.0305093,0.0309174,0.0302725,0.0303065,0.0306424,0.584774,0.593842,0.150572,0.0254383,0.0233559
1833,25,5,0.0627113,0.0605129,0.0628174,0.0617792,0.0630888,0.0626026,1.20188,1.21129,0.304591,0.0517375,0.0480448
2336,25,5,0.125749,0.121008,0.126259,0.123272,0.122767,0.124428,2.46822,2.47785,0.615017,0.107065,0.0993988
2976,25,5,0.254841,0.249712,0.258249,0.249256,0.249829,0.253501,5.08363,5.10042,1.25616,0.224145,0.205062
3793,25,5,0.519955,0.50596,0.531435,0.506675,0.502924,0.524442,10.5304,10.6133,2.55466,0.454456,0.424588
4833,25,5,1.07579,1.02956,1.08828,1.02931,1.02817,1.07645,22.7244,23.7614,5.23878,0.954864,0.875591
6158,25,5,2.21247,2.10308,2.23617,2.1048,2.09903,2.21368,49.8065,51.4488,10.771,1.99308,1.81514
7848,25,5,4.54759,4.31572,4.59704,4.31778,4.32141,4.55178,106.21,108.473,22.1807,4.42033,3.78546
10000,25,5,9.5546,8.88723,9.63849,8.85502,8.86564,9.55155,222.495,226.47,46.5403,8.96072,7.74749
100,25,10,2.9606e-05,2.611e-05,3.2275e-05,2.8175e-05,2.3768e-05,3.8356e-05,0.000297174,0.00031037,0.000133954,2.3242e-05,3.9909e-05
127,25,10,6.7589e-05,7.4611e-05,6.3797e-05,5.4805e-05,5.1158e-05,7.0448e-05,0.000574465,0.000651005,0.000412641,4.5935e-05,4.4201e-05
162,25,10,0.000113638,0.000107877,0.00012153,0.000123434,0.000149951,0.000134308,0.00118785,0.00113013,0.000603538,8.9358e-05,8.808e-05
207,25,10,0.000242834,0.000373301,0.000257509,0.000233918,0.000193184,0.000236992,0.00214164,0.00222342,0.00112215,0.000165414,0.000163949
264,25,10,0.000461201,0.000726298,0.000486604,0.000461173,0.000448887,0.000453438,0.00441685,0.00441249,0.00227165,0.000518831,0.000329136
336,25,10,0.0013141,0.000837829,0.000902925,0.000892688,0.000843527,0.00128398,0.00867467,0.00892755,0.00434342,0.000659284,0.000651633
