Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14
428,50,10,0.00369563,0.00329908,0.00355128,0.0034841,0.00330681,0.00333698,
546,50,10,0.00750243,0.00657494,0.00700851,0.00724513,0.0067069,0.00666134,
695,50,10,0.0138366,0.0130813,0.0140904,0.0135604,0.0142898,0.013247,
886,50,10,0.0275615,0.0290996,0.0278224,0.0273166,0.0267592,0.0269186,
1129,50,10,0.0545598,0.0547735,0.0555343,0.0540109,0.0542059,0.0536831,
1438,50,10,0.111588,0.10871,0.112022,0.109529,0.109707,0.109559,
1833,50,10,0.227646,0.222718,0.229234,0.222823,0.22418,0.225237,
2336,50,10,0.468028,0.458245,0.4747,0.456071,0.452812,0.469304,
2976,50,10,0.960235,0.932958,0.971674,0.930655,0.929092,0.961928,
3793,50,10,1.99263,1.9413,2.00273,1.91012,1.90548,1.98943,
4833,50,10,4.09426,3.91683,4.11888,3.92818,3.91481,4.09667,
6158,50,10,8.36495,8.05431,8.32464,7.89776,8.02747,8.36916,
7848,50,10,17.9732,16.5645,17.772,16.5513,16.6264,17.9646,
10000,50,10,38.4732,34.2206,38.6779,34.1875,34.226,38.5048,
100,50,25,0.000167838,0.000114181,0.000128526,0.000214383,0.000116377,0.000118578,
127,50,25,0.00028811,0.000418191,0.000244033,0.00024687,0.000234166,0.000232492,
162,50,25,0.000447205,0.000424611,0.000449794,0.000454186,0.000431275,0.000425828,
207,50,25,0.000874944,0.000848334,0.000900864,0.000893896,0.000853162,0.000850693,
264,50,25,0.00208415,0.00166824,0.00176313,0.00173413,0.00167484,0.00168818,
336,50,25,0.0038685,0.00332058,0.00349975,0.00342415,0.0033302,0.00339729,
428,50,25,0.00754631,0.00680798,0.00701806,0.00689826,0.00671699,0.00678319,
546,50,25,0.0148854,0.0139139,0.0142322,0.0140766,0.0136611,0.014397,
695,50,25,0.0288306,0.0277296,0.0289289,0.0282586,0.0279407,0.0282986,
886,50,25,0.0672731,0.0576771,0.0585674,0.0576913,0.0570661,0.0572695,
1129,50,25,0.120527,0.116295,0.120141,0.11779,0.118036,0.117404,
1438,50,25,0.245141,0.239258,0.246418,0.239806,0.240345,0.242538,
1833,50,25,0.513496,0.494226,0.516329,0.494179,0.494388,0.507396,
2336,50,25,1.05903,1.0268,1.0588,1.01386,1.01544,1.05904,
2976,50,25,2.15806,2.05118,2.16037,2.05163,2.05226,2.15022,
